Metric,Value
Assigned,71
Total,100
Parameters,"{'pop_size': 168, 'mutation_rate': 0.330426811466795, 'elitism_rate': 0.12072288433493449, 'generations': 500}"

Room,Patient IDs
0,9;16;17;33;36;38;47;57;58;61;69;70;83
1,2;8;14;22;25;26;45;55;77;78;82;88;95;96;98
2,0;4;21;37;44;50;51;54;56;71;76;84;94
3,6;18;30;32;34;39;48;49;53;59;68;74;79;90;92
4,3;5;11;13;15;24;27;29;35;40;42;46;63;73;91
