Run_ID,Department,Method,Jan_Count,Feb_Count,Mar_Count,Total_Placed,Jan_Coverage_Pct,Score,Runtime_Sec
4,RST ROMB HRS,Simulated Annealing,321,304,257,882,100.0,4987000,32.75
4,RST ROMB HRS,GNN Heuristic,321,304,255,880,100.0,4985000,32.75
4,RST ROMB HRS,DRL Policy,321,304,248,873,100.0,4978000,32.75
4,RST ROMB HRS,Average Human,321,304,252,877,100.0,4982000,32.75
4,RST ROMB HRS,Smart Human,321,304,249,874,100.0,4979000,32.75
5,RST ROMB CCL,Hartmann GA 1998,651,561,0,1212,100.0,9315000,22.02
5,RST ROMB CCL,Hartmann GA 2002,651,566,0,1217,100.0,9340000,22.02
5,RST ROMB CCL,Simulated Annealing,651,560,0,1211,100.0,9310000,22.02
5,RST ROMB CCL,GNN Heuristic,651,549,0,1200,100.0,9255000,22.02
5,RST ROMB CCL,DRL Policy,651,533,0,1184,100.0,9175000,22.02
5,RST ROMB CCL,Average Human,651,555,0,1206,100.0,9285000,22.02
5,RST ROMB CCL,Smart Human,651,532,0,1183,100.0,9170000,22.02
5,RST ROMB HRS,Hartmann GA 1998,321,304,259,884,100.0,4989000,32.59
5,RST ROMB HRS,Hartmann GA 2002,321,304,259,884,100.0,4989000,32.59
5,RST ROMB HRS,Simulated Annealing,321,304,260,885,100.0,4990000,32.59
5,RST ROMB HRS,GNN Heuristic,321,304,255,880,100.0,4985000,32.59
5,RST ROMB HRS,DRL Policy,321,304,248,873,100.0,4978000,32.59
5,RST ROMB HRS,Average Human,321,304,252,877,100.0,4982000,32.59
5,RST ROMB HRS,Smart Human,321,304,249,874,100.0,4979000,32.59
6,RST ROMB CCL,Hartmann GA 1998,651,562,0,1213,100.0,9320000,21.96
6,RST ROMB CCL,Hartmann GA 2002,651,563,0,1214,100.0,9325000,21.96
6,RST ROMB CCL,Simulated Annealing,651,557,0,1208,100.0,9295000,21.96
6,RST ROMB CCL,GNN Heuristic,651,549,0,1200,100.0,9255000,21.96
6,RST ROMB CCL,DRL Policy,651,533,0,1184,100.0,9175000,21.96
6,RST ROMB CCL,Average Human,651,555,0,1206,100.0,9285000,21.96
6,RST ROMB CCL,Smart Human,651,532,0,1183,100.0,9170000,21.96
6,RST ROMB HRS,Hartmann GA 1998,321,304,261,886,100.0,4991000,32.89
6,RST ROMB HRS,Hartmann GA 2002,321,304,260,885,100.0,4990000,32.89
6,RST ROMB HRS,Simulated Annealing,321,304,257,882,100.0,4987000,32.89
6,RST ROMB HRS,GNN Heuristic,321,304,255,880,100.0,4985000,32.89
6,RST ROMB HRS,DRL Policy,321,304,248,873,100.0,4978000,32.89
6,RST ROMB HRS,Average Human,321,304,252,877,100.0,4982000,32.89
6,RST ROMB HRS,Smart Human,321,304,249,874,100.0,4979000,32.89
7,RST ROMB CCL,Hartmann GA 1998,651,564,0,1215,100.0,9330000,22.05
7,RST ROMB CCL,Hartmann GA 2002,651,563,0,1214,100.0,9325000,22.05
7,RST ROMB CCL,Simulated Annealing,651,562,0,1213,100.0,9320000,22.05
7,RST ROMB CCL,GNN Heuristic,651,549,0,1200,100.0,9255000,22.05
7,RST ROMB CCL,DRL Policy,651,533,0,1184,100.0,9175000,22.05
7,RST ROMB CCL,Average Human,651,555,0,1206,100.0,9285000,22.05
7,RST ROMB CCL,Smart Human,651,532,0,1183,100.0,9170000,22.05
7,RST ROMB HRS,Hartmann GA 1998,321,304,256,881,100.0,4986000,32.89
7,RST ROMB HRS,Hartmann GA 2002,321,304,263,888,100.0,4993000,32.89
7,RST ROMB HRS,Simulated Annealing,321,304,259,884,100.0,4989000,32.89
7,RST ROMB HRS,GNN Heuristic,321,304,255,880,100.0,4985000,32.89
7,RST ROMB HRS,DRL Policy,321,304,248,873,100.0,4978000,32.89
7,RST ROMB HRS,Average Human,321,304,252,877,100.0,4982000,32.89
7,RST ROMB HRS,Smart Human,321,304,249,874,100.0,4979000,32.89
8,RST ROMB CCL,Hartmann GA 1998,651,564,0,1215,100.0,9330000,21.94
8,RST ROMB CCL,Hartmann GA 2002,651,565,0,1216,100.0,9335000,21.94
8,RST ROMB CCL,Simulated Annealing,651,559,0,1210,100.0,9305000,21.94
8,RST ROMB CCL,GNN Heuristic,651,549,0,1200,100.0,9255000,21.94
8,RST ROMB CCL,DRL Policy,651,533,0,1184,100.0,9175000,21.94
8,RST ROMB CCL,Average Human,651,555,0,1206,100.0,9285000,21.94
8,RST ROMB CCL,Smart Human,651,532,0,1183,100.0,9170000,21.94
8,RST ROMB HRS,Hartmann GA 1998,321,304,257,882,100.0,4987000,32.56
8,RST ROMB HRS,Hartmann GA 2002,321,304,260,885,100.0,4990000,32.56
