Metric,Value
Total Assigned,237
Bank Size,1020
,
--- OPTIMIZED SCHEDULE ---
Room ID,Patient IDs
0,17;70;147;165;177;210
1,58;78;98;212;236;239;247
2,4;35;38;39;89;204;215
3,9;18;25;100;136;139;155;164;166;201;238
4,33;82;116;119;129;160;186;200;231;242
5,20;24;27;68;95;105;110;117;120;209
0,12;19;178;189;219
1,91;99;121;135;228
2,16;22;57;86;93;188;232
3,15;36;49;77;79;87;176;179
4,6;13;60;72;158;171;185;192;217;244
5,54;56;71;111;115;118;132;138;170;172;195
0,30;66;113;114;143;205
1,43;59;174;187;224
2,63;76;94;128;163;225;230
3,29;41;44;85;152;183;249
4,10;50;52;53;64;108;140;145;157;181;184
5,28;48;65;67;96;146;180;248
0,61;107;142;151;203;235
1,104;106;125;127;130;191;207
2,23;92;144;190;214;241
3,45;46;97;173;194;196;199;234;243
4,7;11;26;32;47;154;175;202;240;245
5,2;21;40;42;81;102;112;167;211;226
0,14;83;141;208;216;233
1,3;34;55;62;90;153;206;218
2,5;8;75;122;227
3,37;69;101;123;126;134;161;162;169;198
4,80;84;148;150;156;182;213;222;229
5,0;31;51;74;88;109;133;193;223;237
