Metric,Value
Total Assigned,236
Bank Size,4020
,
--- OPTIMIZED SCHEDULE ---
Room ID,Patient IDs
0,2;59;61;90;134;163;164;224
1,62;148;160;223;241;246
2,14;69;113;128;130;174;231
3,10;37;89;96;117;135;155;166;199;237
4,27;47;50;67;88;102;123;136;153;171;186;236
5,9;31;68;86;119;183;184;198;242
0,16;126;144;159;196;217;220
1,20;53;143;151;210;221
2,8;23;78;149;235
3,11;18;33;45;46;60;97;177;194;229
4,22;36;40;42;52;85;112;156;200;201
5,0;21;54;64;65;84;100;179;226
0,1;35;73;131
1,17;81;147;172;192;218
2,12;58;168;173;227
3,25;51;71;77;132;145;152;211;232
4,41;44;91;116;120;142;154;244
5,74;101;110;125;139;158;181;191;225;249
0,19;30;141;214;230
1,4;93;95;104;162;165
2,28;66;203;206;219;239
3,6;24;29;70;79;94;109;167;175;185;205
4,72;107;115;127;146;170;176;213;216;245
5,15;48;82;121;157;180;233
0,13;38;124;137;238
1,3;34;57;105;129;150;189;208
2,55;83;204;207;212;240
3,26;32;118;133;138;169;202;222;234;248
4,39;49;75;108;111;114;140;190;195;209;243;247
5,7;56;80;87;106;161;182;193;215
