Metric,Value
Total Assigned,237
Bank Size,5010
,
--- OPTIMIZED SCHEDULE ---
Room ID,Patient IDs
0,17;19;86;163;201;239;242
1,69;128;143;187;226;241
2,57;74;102;142;204;240;244
3,77;107;111;129;138;152;214;245;247
4,24;36;51;100;119;140;170;191
5,25;45;49;55;120;172;173;182;213;238
0,3;105;151;165;219;224;230
1,38;52;63;93;211
2,61;90;168;220
3,34;70;84;89;146;176;185;198;202
4,15;16;81;112;115;121;136;157;186;222
5,18;35;42;50;54;71;85;94;118;148;153;215
0,33;137;199;216;217;228
1,10;58;62;80;98;203
2,2;4;9;126;212;235
3,40;59;91;109;132;133;162;169;181;195;243
4,7;29;60;68;116;166;177;205;209;232
5,13;14;20;48;72;82;123;164;183;190
0,8;122;147;180;227
1,43;53;65;99;218
2,12;66;156;174;178;207
3,27;32;56;78;106;144;179;184;229;237
4,37;39;46;79;87;171;208;210;248;249
5,101;108;134;145;158;160;161;167;233
0,5;130;141;200
1,28;76;96;113;189;206
2,23;67;73;75;83;110;114;125
3,0;31;44;88;139;193;231;234
4,6;22;41;97;117;150;154;155;192;194;225;236
5,11;21;26;47;64;95;127;135;175;196;223
