Method,Paths,Fraction,Succeeded,Total
RAGO-120,120,0.0000004000,237,250
RAGO-240,240,0.0000008000,237,250
RAGO-510,510,0.0000017000,237,250
RAGO-1020,1020,0.0000034000,237,250
RAGO-2010,2010,0.0000067000,236,250
RAGO-3000,3000,0.0000100000,237,250
RAGO-4000,4020,0.0000134000,236,250
RAGO-5000,5010,0.0000167000,237,250
