Metric,Value
Total Assigned,237
Bank Size,3000
,
--- OPTIMIZED SCHEDULE ---
Room ID,Patient IDs
0,8;12;34;38;76
1,64;90;113;179;189;203;242
2,19;29;50;98;126;169;217;235
3,0;40;42;46;88;142;172;193;198;201;245
4,15;44;81;82;97;158;166;184;209;215
5,9;20;101;109;145;161;180;195;208;226
0,121;147;178;219;224;248
1,13;27;43;61;128;249
2,17;23;58;78;148;206
3,10;33;111;119;132;183;192;232;243;244
4,41;48;91;102;107;135;150;218;225
5,35;36;45;51;67;69;80;155;160;164
0,83;99;233;239
1,4;75;77;104;133;188;190
2,28;122;191;212;227;247
3,117;120;127;146;157;162;171;181;214;223
4,52;65;74;110;112;163;177;216;231;238
5,6;86;87;108;118;199;202;210;213
0,63;66;174;176;185
1,5;7;57;71;79;93;236
2,30;72;73;151;240
3,21;24;25;53;186;200;230;234;237
4,18;39;54;55;59;70;89;94;105;115;136;222
5,2;22;26;31;37;56;60;85;170
0,129;138;143;149;228
1,3;62;114;130;154;175;204;241
2,49;92;141;165
3,14;68;106;125;140;152;167;173;211
4,11;32;47;95;100;116;123;156;205
5,16;84;96;134;139;144;153;182;194;196;229
