Metric,Value
Total Assigned,79
Bank Size,4006
,
--- OPTIMIZED SCHEDULE ---
Room ID,Patient IDs
0,4;9;14;18
1,21;27;30;32
2,41;46;47;54
3,83;93;94
0,6;7;8;12
1,22;23;25;39
2,45;51;53;58
3,67;71;75;77
0,2;3;15;16
1,29;31;33;36
2,40;43;55;57
3,63;66;70;74
0,0;10;13;19
1,20;26;37;38
2,44;48;56;59
3,62;68;72;73
0,1;5;11;17
1,24;28;34;35
2,42;49;50;52
3,60;61;65;69
