Metric,Value
Total Assigned,79
Bank Size,259
,
--- OPTIMIZED SCHEDULE ---
Room ID,Patient IDs
0,5;9;17;18
1,20;21;29;32
2,41;46;47;54
3,65;70;73;74
0,7;11;12;14
1,22;25;26;31
2,45;51;53;58
3,62;66;67;76
0,1;2;8;15
1,23;27;33;39
2,40;43;55;57
3,64;68;75;77
0,0;10;13;19
1,24;30;36;37
2,44;48;56;59
3,63;69;71;72
0,3;4;6;16
1,28;34;35;38
2,42;49;50;52
3,60;61;94
