Metric,Value
Total Assigned,79
Bank Size,120
,
--- OPTIMIZED SCHEDULE ---
Room ID,Patient IDs
0,1;13;14;16
1,22;31;33;35
2,40;43;52;57
3,68;71;74;76
0,0;2;6;10
1,21;24;28;39
2,45;46;50;53
3,60;64;65;77
0,3;8;12;19
1,20;23;27;37
2,44;48;51;56
3,61;62;67;73
0,7;15;17;18
1,25;32;34;36
2,42;49;54;58
3,75;83;91
0,4;5;9;11
1,26;29;30;38
2,41;47;55;59
3,63;66;69;70
