Metric,Value
Total Assigned,79
Bank Size,1028
,
--- OPTIMIZED SCHEDULE ---
Room ID,Patient IDs
0,8;9;16;18
1,26;28;30;38
2,41;48;49;56
3,87;91;93
0,5;11;13;14
1,25;27;33;37
2,42;43;51;58
3,70;71;73;77
0,3;4;10;17
1,20;22;23;34
2,46;50;53;55
3,62;65;74;76
0,6;7;15;19
1,21;29;31;32
2,40;44;52;57
3,60;63;64;72
0,0;1;2;12
1,24;35;36;39
2,45;47;54;59
3,61;66;68;69
