Metric,Value
Total Assigned,79
Bank Size,3007
,
--- OPTIMIZED SCHEDULE ---
Room ID,Patient IDs
0,8;9;16;18
1,21;22;23;30
2,41;46;47;54
3,61;62;66;67
0,5;11;13;14
1,20;25;26;35
2,45;51;53;58
3,69;71;73;77
0,3;4;10;17
1,32;33;34;39
2,40;43;55;57
3,60;64;68;75
0,6;7;15;19
1,24;28;29;36
2,44;48;56;59
3,63;70;72;74
0,0;1;2;12
1,27;31;37;38
2,42;49;50;52
3,65;76;91
