Metric,Value
Total Assigned,79
Bank Size,5005
,
--- OPTIMIZED SCHEDULE ---
Room ID,Patient IDs
0,2;4;9;16
1,24;27;31;39
2,48;50;58;59
3,61;66;68;71
0,1;3;6;17
1,22;25;30;34
2,41;44;55;56
3,60;62;73;74
0,12;13;14;18
1,20;21;23;28
2,40;45;46;51
3,83;87;91
0,8;10;11;19
1,26;35;36;37
2,42;49;52;53
3,63;69;75;76
0,0;5;7;15
1,29;32;33;38
2,43;47;54;57
3,64;67;72;77
