Metric,Value
Total Assigned,79
Bank Size,517
,
--- OPTIMIZED SCHEDULE ---
Room ID,Patient IDs
0,0;1;7;19
1,22;31;33;35
2,40;43;52;57
3,65;68;69;73
0,3;14;17;18
1,21;24;28;39
2,45;46;50;53
3,62;63;71;76
0,6;8;9;12
1,20;23;27;37
2,44;48;51;56
3,61;70;75;77
0,2;10;13;16
1,25;32;34;36
2,42;49;54;58
3,64;66;67;74
0,4;5;11;15
1,26;29;30;38
2,41;47;55;59
3,72;87;94
