Method,Paths,Fraction,Succeeded,Total
ARGO-120,125,0.0007192796,70,250
ARGO-240,248,0.0014270507,71,250
ARGO-510,512,0.0029461691,73,250
ARGO-1020,1024,0.0058923382,74,250
ARGO-2010,2017,0.0116062951,74,250
ARGO-3000,3006,0.0172972351,75,250
ARGO-4000,4007,0.0230572259,75,250
ARGO-5000,5008,0.0288172167,75,250
